title,author,language,genre,year,cover_url
Pride and Prejudice,Jane Austen,English,Romance,1813,
Sense and Sensibility,Jane Austen,English,Romance,1811,
Emma,Jane Austen,English,Romance,1815,
Jane Eyre,Charlotte Bronte,English,Romance,1847,
Wuthering Heights,Emily Bronte,English,Romance,1847,
Oliver Twist,Charles Dickens,English,Classic,1838,
A Tale of Two Cities,Charles Dickens,English,Historical,1859,
Great Expectations,Charles Dickens,English,Classic,1861,
David Copperfield,Charles Dickens,English,Classic,1850,
The Old Man and the Sea,Ernest Hemingway,English,Literary Fiction,1952,
The Great Gatsby,F. Scott Fitzgerald,English,Classic,1925,
To Kill a Mockingbird,Harper Lee,English,Classic,1960,
1984,George Orwell,English,Dystopian,1949,
Animal Farm,George Orwell,English,Political Fiction,1945,
Brave New World,Aldous Huxley,English,Dystopian,1932,
The Hobbit,J. R. R. Tolkien,English,Fantasy,1937,
The Lord of the Rings,J. R. R. Tolkien,English,Fantasy,1954,
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,Fantasy,1997,
The Chronicles of Narnia,C. S. Lewis,English,Fantasy,1950,
Alice's Adventures in Wonderland,Lewis Carroll,English,Fantasy,1865,
The Adventures of Tom Sawyer,Mark Twain,English,Adventure,1876,
The Adventures of Huckleberry Finn,Mark Twain,English,Adventure,1884,
Treasure Island,Robert Louis Stevenson,English,Adventure,1883,
The Count of Monte Cristo,Alexandre Dumas,English,Adventure,1844,
The Three Musketeers,Alexandre Dumas,English,Adventure,1844,
The Time Machine,H. G. Wells,English,Science Fiction,1895,
The War of the Worlds,H. G. Wells,English,Science Fiction,1898,
The Invisible Man,H. G. Wells,English,Science Fiction,1897,
Frankenstein,Mary Shelley,English,Gothic,1818,
Dracula,Bram Stoker,English,Gothic,1897,
गोदान,मुंशी प्रेमचंद,Hindi,सामाजिक,1936,
गबन,मुंशी प्रेमचंद,Hindi,सामाजिक,1931,
निर्मला,मुंशी प्रेमचंद,Hindi,सामाजिक,1927,
सेवासदन,मुंशी प्रेमचंद,Hindi,सामाजिक,1918,
कर्मभूमि,मुंशी प्रेमचंद,Hindi,सामाजिक,1932,
रंगभूमि,मुंशी प्रेमचंद,Hindi,सामाजिक,1924,
प्रेमाश्रम,मुंशी प्रेमचंद,Hindi,सामाजिक,1922,
कामायनी,जयशंकर प्रसाद,Hindi,काव्य,1936,
आँसू,जयशंकर प्रसाद,Hindi,काव्य,1925,
